segment_id,timestamp_micros,id_interno,object_type,box_center_x,box_center_y,box_center_z,box_length,box_width,box_height,speed_mps,num_lidar_points,weather,time_of_day,detection_difficulty,sensor_version
seg_0075,1692875003100000,det_0036558,VEHICLE,27.794,13.575,0.910,3.497,1.874,1.670,17.098,62,sunny,Day,LEVEL_1,v2.0.1
seg_0041,1692025016500000,det_0013503,PEDESTRIAN,46.031,9.695,1.281,0.852,0.773,1.874,1.182,38,sunny,Day,LEVEL_1,v2.0.1
seg_0045,1692125005700000,det_0034984,VEHICLE,65.012,16.683,1.242,3.310,1.867,1.658,14.165,14,Sunny,Day,LEVEL_2,v2.0.1
seg_0062,1692550000000000,det_0035645,PEDESTRIAN,35.074,-22.748,0.900,0.737,0.572,1.574,0.428,48,,Night,LEVEL_1,v2.0.1
seg_0148,1694700014100000,det_0031983,VEHICLE,-17.807,13.372,0.411,4.948,2.035,1.495,8.847,120,sunny,Day,LEVEL_1,v2.0.1
seg_0054,1692350015500000,det_0010310,VEHICLE,8.303,21.890,1.499,4.306,2.102,1.423,5.205,92,sunny,Dawn/Dusk,LEVEL_1,v2.0.1
seg_0039,1691975006600000,det_0022948,VEHICLE,27.872,-11.901,0.757,4.689,2.094,1.714,17.718,76,sunny,Dawn/Dusk,LEVEL_1,v2.0.1
seg_0069,1692725003300000,det_0019548,VEHICLE,22.117,2.263,0.943,4.721,1.803,1.598,0.979,102,rain,Day,LEVEL_1,v2.0.1
seg_0057,1692425003900000,det_0014948,VEHICLE,16.931,28.150,1.166,4.688,2.036,1.753,21.146,71,sunny,Day,LEVEL_1,v2.0.1
seg_0002,1691050008900000,det_0036338,VEHICLE,-5.313,19.656,0.741,4.887,1.902,1.148,12.770,126,sunny,Day,LEVEL_1,v2.0.1
seg_0046,1692150016100000,det_0000225,PEDESTRIAN,45.045,11.648,0.785,0.595,0.812,1.918,0.735,49,soleado,Day,LEVEL_1,v2.0.1
seg_0099,1693475010700000,det_0001722,VEHICLE,14.202,-18.990,1.445,5.008,1.771,2.220,13.921,91,sunny,Day,LEVEL_1,v2.0.1
seg_0091,1693275000500000,det_0025859,PEDESTRIAN,29.283,-26.380,0.531,0.987,0.783,1.648,1.562,47,soleado,Day,LEVEL_1,v2.0.1
seg_0077,1692925003700000,det_0002714,PEDESTRIAN,17.582,14.195,0.865,0.898,0.895,1.775,2.124,91,Sunny,Day,LEVEL_1,v2.0.1
seg_0002,1691050004500000,det_0026625,VEHICLE,6.614,-3.940,1.006,3.662,1.764,1.786,10.281,372,rain,Day,LEVEL_1,v2.0.1
seg_0017,1691425016600000,det_0011005,PEDESTRIAN,11.251,-11.306,1.709,0.787,0.709,2.105,0.907,139,sunny,Day,LEVEL_1,v2.0.1
seg_0036,1691900008600000,det_0025905,PEDESTRIAN,14.932,-19.890,1.035,0.998,0.984,1.812,0.679,94,sunny,Day,LEVEL_2,v2.0.1
seg_0026,1691650010700000,det_0035789,VEHICLE,8.452,1.101,1.180,5.674,1.967,2.014,4.547,354,sunny,Day,LEVEL_1,v2.0.1
seg_0059,1692475004700000,det_0003022,PEDESTRIAN,20.208,1.362,0.753,1.096,0.725,1.546,0.668,125,soleado,Day,LEVEL_1,v2.0.1
seg_0138,1694450003500000,det_0032783,VEHICLE,-18.335,-6.655,0.380,5.396,1.942,1.748,0.393,138,sunny,Day,LEVEL_1,v2.0.1
seg_0091,1693275015300000,det_0038173,VEHICLE,24.189,7.598,0.894,4.733,1.908,1.257,8.526,117,sunny,Night,LEVEL_1,v2.0.1
seg_0016,1691400011400000,det_0009217,VEHICLE,16.989,1.824,1.136,5.282,1.669,1.697,3.426,153,rain,Night,LEVEL_1,v2.0.1
seg_0095,1693375016400000,det_0019120,VEHICLE,17.954,4.887,0.895,4.032,1.746,1.088,7.280,142,sunny,Day,LEVEL_1,v2.0.1
seg_0134,1694350008600000,det_0034276,SIGN,-10.629,12.912,0.965,0.474,0.391,3.135,0.000,159,lluvia,Night,LEVEL_1,v2.0.1
seg_0015,1691375018900000,det_0027051,VEHICLE,-26.400,2.115,1.124,4.855,1.640,1.451,8.032,92,Sunny,Dawn/Dusk,LEVEL_1,v2.0.1
seg_0126,1694150007500000,det_0018048,VEHICLE,7.026,-0.766,0.985,5.597,2.031,1.420,3.091,376,lluvia,Day,LEVEL_1,v2.0.1
seg_0129,1694225010200000,det_0027762,PEDESTRIAN,6.034,-3.815,0.798,0.711,0.523,1.674,1.256,329,sunny,Day,LEVEL_1,v2.0.1
seg_0034,1691850005600000,det_0004260,Pedestrian,-21.634,-10.706,1.704,0.831,0.753,1.570,2.280,100,Sunny,Night,LEVEL_1,v2.0.1
seg_0001,1691025011500000,det_0027770,VEHICLE,-7.827,2.531,0.211,5.403,2.020,1.377,16.873,312,SUNNY,Day,LEVEL_2,v2.0.1
seg_0104,1693600011200000,det_0015738,PEDESTRIAN,-9.568,7.400,0.771,1.030,0.845,1.749,0.814,216,sunny,Dawn/Dusk,LEVEL_1,v2.0.1
seg_0131,1694275015400000,det_0011920,VEHICLE,35.497,-2.438,0.765,5.697,1.793,0.922,4.545,61,sunny,Day,LEVEL_1,v2.0.1
seg_0110,1693750016100000,det_0037084,VEHICLE,16.173,13.075,0.739,5.120,1.717,1.829,3.341,131,,Day,LEVEL_1,v2.0.1
seg_0046,1692150011300000,det_0038777,VEHICLE,31.801,-13.609,1.126,5.007,1.868,1.631,9.115,61,sunny,Day,LEVEL_1,v2.0.1
seg_0011,1691275004600000,det_0012002,VEHICLE,34.213,-4.154,0.857,5.145,1.954,1.182,4.826,62,sunny,Day,LEVEL_1,v2.0.1
seg_0117,1693925009700000,det_0005697,PEDESTRIAN,23.848,-8.887,1.066,0.891,1.001,1.545,1.875,95,fog,Day,LEVEL_1,v2.0.1
seg_0075,1692875007900000,det_0033599,VEHICLE,9.892,6.530,0.650,3.720,1.908,1.525,14.889,220,RAIN ,Day,LEVEL_1,v2.0.1
seg_0133,1694325015800000,det_0018001,CYCLIST,25.764,28.954,1.274,1.996,0.831,1.671,6.004,55,niebla,Night,LEVEL_1,v2.0.1
seg_0072,1692800018900000,det_0006616,PEDESTRIAN,1.256,-16.729,0.855,0.934,0.535,1.700,1.230,160,sunny,Day,LEVEL_1,v2.0.1
seg_0000,1691000004200000,det_0033948,VEHICLE,44.449,8.471,0.480,5.150,1.928,1.079,19.854,46,sunny,Night,LEVEL_1,v2.0.1
seg_0127,1694175001500000,det_0024146,VEHICLE,23.371,-3.744,0.793,4.332,2.286,1.774,6.779,99,sunny,Day,LEVEL_1,v2.0.1
seg_0091,1693275004800000,det_0039171,VEHICLE,41.641,0.361,1.093,4.596,1.763,1.568,7.185,41,sunny,Day,LEVEL_1,v2.0.1
seg_0121,1694025008400000,det_0014149,PEDESTRIAN,20.021,-12.489,1.135,0.629,1.049,1.671,0.635,112,sunny,Day,LEVEL_1,v2.0.1
seg_0140,1694500015500000,det_0012867,VEHICLE,6.375,15.272,1.258,4.990,2.117,1.447,7.564,155,rain,Day,LEVEL_1,v2.0.1
seg_0138,1694450009500000,det_0028882,PEDESTRIAN,37.280,12.243,0.636,0.793,0.918,1.800,0.925,54,sunny,Day,LEVEL_1,v2.0.1
seg_0023,1691575005200000,det_0008504,VEHICLE,22.770,3.789,1.300,3.785,1.746,1.325,11.015,110,sunny,Dawn/Dusk,LEVEL_1,v2.0.1
seg_0001,1691025004200000,det_0025055,VEHICLE,32.358,-1.284,0.722,4.167,2.114,1.911,9.396,77,,Day,LEVEL_2,v2.0.1
seg_0013,1691325016700000,det_0014002,VEHICLE,-8.911,9.794,0.622,4.216,2.425,1.932,7.594,195,sunny,Dawn/Dusk,LEVEL_1,v2.0.1
seg_0143,1694575010600000,det_0037932,PEDESTRIAN,51.371,10.513,0.635,0.576,0.762,1.734,1.903,36,sunny,Night,LEVEL_1,v2.0.1
seg_0078,1692950001000000,det_0007533,VEHICLE,-0.519,4.100,1.518,4.155,2.035,1.519,13.427,499,sunny,Day,LEVEL_1,v2.0.1
seg_0029,1691725004900000,det_0001112,VEHICLE,56.745,2.404,0.836,4.170,1.810,1.290,14.871,31,sunny,Day,LEVEL_1,v2.0.1
seg_0050,1692250010000000,det_0006245,VEHICLE,-0.643,6.440,-0.325,3.376,2.017,1.678,,362,Sunny,Night,LEVEL_2,v2.0.1
seg_0036,1691900013800000,det_0028487,VEHICLE,3.998,-12.181,0.156,4.671,2.020,2.050,7.349,214,Sunny,Night,LEVEL_1,v2.0.1
seg_0152,1694800014600000,det_0002172,SIGN,-5.315,-9.440,0.768,0.329,0.440,1.920,0.000,259,sunny,Day,LEVEL_1,v2.0.1
seg_0006,1691150001500000,det_0015876,VEHICLE,19.403,-5.571,1.135,6.634,1.845,1.228,1.846,125,sunny,Day,LEVEL_1,v2.0.1
seg_0083,1693075019200000,det_0034664,VEHICLE,17.996,15.388,0.541,3.941,1.665,1.593,4.877,102,rain,Night,LEVEL_2,v2.0.1
seg_0092,1693300004400000,det_0007229,VEHICLE,-9.067,-12.707,0.512,4.180,2.199,1.542,4.726,163,,Day,LEVEL_1,v2.0.1
seg_0114,1693850017000000,det_0017215,VEHICLE,4.687,17.005,1.096,4.320,2.103,1.642,9.565,136,sunny,Night,LEVEL_1,v2.0.1
seg_0094,1693350007300000,det_0022365,SIGN,-4.986,22.030,1.058,0.264,0.399,2.360,0.000,113,sunny,Day,LEVEL_1,v2.0.1
seg_0106,1693650005100000,det_0029751,PEDESTRIAN,8.804,-7.391,0.925,0.788,0.616,1.721,0.130,249,rain,Day,LEVEL_1,v2.0.1
seg_0115,1693875011600000,det_0035821,PEDESTRIAN,15.801,2.236,0.980,0.785,0.668,1.736,1.560,139,fog,Day,LEVEL_1,v2.0.1
seg_0133,1694325000200000,det_0000920,VEHICLE,-3.389,-4.145,1.062,5.112,2.311,1.702,12.518,457,SUNNY,Day,LEVEL_1,v2.0.1
seg_0064,1692600016300000,det_0036896,PEDESTRIAN,49.065,15.616,1.195,0.857,0.830,1.845,1.834,29,SUNNY,Day,LEVEL_1,v2.0.1
seg_0145,1694625019400000,det_0010766,SIGN,16.132,1.081,0.903,0.317,0.366,1.368,0.000,158,Fog,Day,LEVEL_1,v2.0.1
seg_0143,1694575004000000,det_0014574,VEHICLE,5.529,23.739,0.926,4.834,1.867,1.322,13.883,107,sunny,Day,LEVEL_1,v2.0.1
seg_0151,1694775003400000,det_0017325,VEHICLE,33.225,6.808,0.289,5.053,1.933,1.252,4.974,54,sunny,Day,LEVEL_1,v2.0.1
seg_0042,1692050012800000,det_0005963,VEHICLE,54.153,-32.184,0.973,5.346,1.717,1.909,9.036,18,sunny,Day,LEVEL_2,v2.0.1
seg_0061,1692525014900000,det_0003314,Pedestrian,-13.263,11.021,0.885,0.689,0.817,1.718,2.373,147,rain,Day,LEVEL_2,v2.0.1
seg_0085,1693125009700000,det_0001386,PEDESTRIAN,37.480,-11.264,1.085,0.954,0.730,1.650,1.386,63,sunny,Night,LEVEL_1,v2.0.1
seg_0027,1691675011400000,det_0023756,VEHICLE,-15.962,8.013,0.474,4.151,1.726,1.809,13.586,139,SUNNY,Day,LEVEL_1,v2.0.1
seg_0042,1692050001300000,det_0012430,PEDESTRIAN,3.240,-4.045,0.793,0.773,0.947,1.670,2.797,450,rain,Day,LEVEL_1,v2.0.1
seg_0143,1694575018500000,det_0023168,VEHICLE,26.558,24.244,0.922,4.271,2.217,1.428,8.846,67,sunny,Day,LEVEL_1,v2.0.1
seg_0036,1691900011600000,det_0030380,VEHICLE,8.125,10.285,0.746,4.666,1.940,1.464,6.911,217,sunny,Day,LEVEL_1,v2.0.1
seg_0138,1694450004800000,det_0026204,VEHICLE,38.786,-13.149,1.249,4.075,1.723,1.901,18.054,46,rain,Day,LEVEL_1,v2.0.1
seg_0117,1693925002800000,det_0008999,PEDESTRIAN,-6.515,-10.818,1.123,1.135,0.898,1.778,2.104,192, rain,Night,LEVEL_1,v2.0.1
seg_0098,1693450015400000,det_0003976,PEDESTRIAN,26.633,-20.530,1.179,1.117,0.943,1.589,1.702,66,sunny,Day,LEVEL_1,v2.0.1
seg_0010,1691250007300000,det_0021197,PEATON,21.485,-12.860,0.922,1.065,0.744,1.635,2.145,99,sunny,Day,LEVEL_1,v2.0.1
seg_0009,1691225001400000,det_0038660,SIGN,53.299,5.992,0.669,0.356,0.619,1.886,0.000,23,niebla,Day,LEVEL_2,v2.0.1
seg_0059,1692475015000000,det_0017896,SIGN,27.799,-8.210,0.839,0.507,0.215,2.608,0.000,65,sunny,Day,LEVEL_1,v2.0.1
seg_0101,1693525019400000,det_0026872,VEHICLE,19.182,-1.720,0.180,4.165,2.061,1.799,12.271,136,sunny,Dawn/Dusk,LEVEL_1,v2.0.1
seg_0114,1693850004500000,det_0006089,VEHICLE,0.793,9.259,1.085,15.333,2.446,3.508,17.977,275,sunny,Night,LEVEL_1,v2.0.1
seg_0038,1691950008800000,det_0012756,PEDESTRIAN,2.686,13.342,0.793,1.260,0.828,2.021,0.504,221,sunny,Day,LEVEL_2,v2.0.1
seg_0066,1692650016100000,det_0006643,VEHICLE,50.125,-3.636,1.206,4.493,2.059,1.508,7.946,32,SUNNY,Night,LEVEL_1,v2.0.1
seg_0085,1693125012800000,det_0033269,PEDESTRIAN,-6.147,-10.194,0.652,0.555,0.888,1.680,1.955,235,RAIN ,Day,LEVEL_1,v2.0.1
seg_0079,1692975000100000,det_0001014,PEDESTRIAN,22.374,3.637,1.203,0.974,0.710,1.607,0.516,107,sunny,Day,LEVEL_1,v2.0.1
seg_0045,1692125015300000,det_0039428,VEHICLE,3.266,7.107,0.365,4.786,2.048,1.404,10.209,337, rain,Day,LEVEL_1,v2.0.1
seg_0065,1692625000000000,det_0032589,PEDESTRIAN,11.708,3.420,0.847,0.992,0.892,1.882,1.786,216,sunny,Day,LEVEL_1,v2.0.1
seg_0010,1691250012600000,det_0027123,VEHICLE,14.043,19.520,0.402,4.958,1.777,2.053,6.977,114,Sunny,Day,LEVEL_1,v2.0.1
seg_0054,1692350016200000,det_0014506,VEHICLE,67.252,-2.055,1.286,5.300,2.256,1.482,5.946,28,fog,Dawn/Dusk,LEVEL_1,v2.0.1
seg_0145,1694625006800000,det_0031010,SIGN,42.661,19.035,1.020,0.357,0.434,2.729,0.000,-1,rain,Night,LEVEL_1,v2.0.1
seg_0022,1691550004500000,det_0023235,VEHICLE,10.935,-13.361,1.354,3.827,1.907,1.200,13.834,170,rain,Day,LEVEL_1,v2.0.1
seg_0135,1694375004800000,det_0010729,VEHICLE,40.296,12.245,0.532,4.457,1.856,1.531,0.255,53,Sunny,Day,LEVEL_1,v2.0.1
seg_0134,1694350011300000,det_0021344,VEHICLE,3.243,3.078,1.624,4.814,1.977,1.915,0.405,444,sunny,Dawn/Dusk,LEVEL_1,v2.0.1
seg_0120,1694000009500000,det_0022718,PEDESTRIAN,32.482,4.202,0.937,1.137,0.939,1.771,1.958,56,sunny,Dawn/Dusk,LEVEL_1,v2.0.1
seg_0118,1693950005500000,det_0028457,VEHICLE,17.369,-17.235,0.461,3.735,1.847,1.570,8.144,78, rain,Day,LEVEL_1,v2.0.1
seg_0124,1694100009900000,det_0023831,VEHICLE,43.351,-4.547,0.047,4.752,1.903,1.764,2.212,44,rain,Day,LEVEL_1,v2.0.1
seg_0090,1693250008400000,det_0004546,VEHICLE,33.318,7.455,1.396,4.029,2.010,1.487,6.121,69,,Day,LEVEL_1,v2.0.1
seg_0033,1691825017400000,det_0008189,PEDESTRIAN,30.593,-11.464,0.811,0.950,0.969,1.550,1.507,72,sunny,Day,LEVEL_1,v2.0.1
seg_0029,1691725010900000,det_0003257,PEDESTRIAN,10.248,-0.187,1.106,0.900,0.838,1.802,1.521,287,rain,Day,LEVEL_1,v2.0.1
seg_0040,1692000016600000,det_0021637,VEHICLE,18.808,-1.103,0.838,5.326,1.600,1.696,8.045,149,sunny,Day,LEVEL_2,v2.0.1
seg_0042,1692050009400000,det_0026476,Pedestrian,60.708,-0.171,1.523,0.784,0.898,1.738,1.154,24,fog,Day,LEVEL_2,v2.0.1
seg_0038,1691950010300000,det_0034923,Ped,36.861,-2.138,0.536,0.791,0.767,1.773,0.729,53,rain,Day,LEVEL_1,v2.0.1
seg_0087,1693175008200000,det_0031035,VEHICLE,18.546,-14.948,1.066,4.708,1.644,1.689,6.579,110,Sunny,Day,LEVEL_1,v2.0.1
seg_0070,1692750010700000,det_0029857,Pedestrian,26.456,-9.862,0.500,0.783,1.025,1.809,2.158,81,sunny,Day,LEVEL_1,v2.0.1
seg_0067,1692675014400000,det_0010253,PEDESTRIAN,27.902,-11.618,1.006,1.008,0.661,1.505,0.736,82,Sunny,Day,LEVEL_1,v2.0.1
seg_0103,1693575015100000,det_0007444,VEHICLE,14.020,4.710,0.927,4.845,2.160,1.575,15.239,192,sunny,Day,LEVEL_1,v2.0.1
seg_0066,1692650017900000,det_0023131,VEHICLE,52.783,-10.557,1.166,5.047,2.083,1.910,12.162,27,sunny,Night,LEVEL_1,v2.0.1
seg_0122,1694050015900000,det_0007656,VEHICLE,47.556,-13.550,1.145,3.813,1.576,1.878,,21,sunny,Night,LEVEL_2,v2.0.1
seg_0143,1694575009700000,det_0039839,VEHICLE,-15.171,9.676,0.751,6.682,1.795,1.739,9.696,138,sunny,Night,LEVEL_1,v2.0.1
seg_0094,1693350009600000,det_0031084,PEDESTRIAN,7.817,-7.933,0.735,0.954,0.577,1.736,0.716,258,sunny,Night,LEVEL_1,v2.0.1
seg_0077,1692925004400000,det_0006942,VEHICLE,19.439,11.843,0.874,4.320,1.926,1.143,12.410,115,rain,Day,LEVEL_1,v2.0.1
seg_0081,1693025011700000,det_0004057,VEHICLE,2.493,16.640,1.112,5.238,1.668,1.864,0.600,166,sunny,Day,LEVEL_1,v2.0.1
seg_0012,1691300012200000,det_0024257,VEHICLE,34.982,0.760,0.761,5.429,1.807,1.567,6.287,55,sunny,Day,LEVEL_1,v2.0.1
seg_0120,1694000007400000,det_0013690,VEHICLE,27.843,25.836,1.163,4.787,1.753,1.575,8.108,55,fog,Day,LEVEL_1,v2.0.1
seg_0024,1691600010900000,det_0031730,VEHICLE,20.325,-9.798,0.299,3.908,1.699,1.540,5.360,125,sunny,Day,LEVEL_1,v2.0.1
seg_0127,1694175007800000,det_0030305,VEHICLE,-10.472,-8.897,0.298,5.021,1.482,1.871,16.512,196,sunny,Day,LEVEL_1,v2.0.1
seg_0135,1694375016700000,det_0033485,VEHICLE,19.043,-3.631,1.051,4.971,1.737,1.565,13.930,134,sunny,Night,LEVEL_1,v2.0.1
seg_0040,1692000017500000,det_0004733,VEHICLE,14.177,-17.153,0.858,4.023,1.839,1.779,18.313,114,sunny,Day,LEVEL_1,v2.0.1
seg_0131,1694275006700000,det_0001588,Pedestrian,58.641,-5.515,0.420,0.830,0.739,1.818,2.160,32,sunny,Night,LEVEL_1,v2.0.1
seg_0053,1692325009200000,det_0002997,PEDESTRIAN,6.098,12.563,1.226,0.983,1.031,1.502,2.219,178,rain,Day,LEVEL_1,v2.0.1
seg_0110,1693750001100000,det_0037570,VEHICLE,51.566,8.907,0.675,3.857,1.770,1.522,14.904,30,rain,Night,LEVEL_1,v2.0.1
seg_0128,1694200018100000,det_0015717,Ped,10.124,5.411,0.708,0.845,0.754,1.741,1.362,218,niebla,Day,LEVEL_1,v2.0.1
seg_0047,1692175009700000,det_0018557,Pedestrian,26.773,3.435,0.380,0.961,0.966,1.857,1.577,76,Sunny,Day,LEVEL_2,v2.0.1
seg_0083,1693075009200000,det_0021729,VEHICLE,56.936,4.710,0.551,4.096,1.708,1.329,7.929,18,sunny,Day,LEVEL_2,v2.0.1
seg_0110,1693750003500000,det_0014564,VEHICLE,22.132,20.724,0.838,5.252,2.063,1.432,7.615,61,Sunny,Day,LEVEL_1,v2.0.1
seg_0129,1694225010000000,det_0003315,VEHICLE,10.131,-7.483,0.825,5.302,1.709,1.793,11.914,201,fog,Day,LEVEL_1,v2.0.1
seg_0029,1691725002600000,det_0019938,VEHICLE,30.109,-14.541,1.514,3.582,2.153,1.652,3.186,70,sunny,Night,LEVEL_1,v2.0.1
seg_0008,1691200004100000,det_0000545,VEHICLE,23.023,22.468,0.718,12.237,2.620,3.258,15.644,69,Sunny,Day,LEVEL_1,v2.0.1
seg_0020,1691500017900000,det_0033609,SIGN,10.787,-4.887,0.767,0.200,0.329,2.081,0.000,238,Sunny,Day,LEVEL_1,v2.0.1
seg_0083,1693075000500000,det_0031251,PEDESTRIAN,7.450,-1.821,0.463,1.080,0.934,1.709,1.085,306,rain,Day,LEVEL_1,v2.0.1
seg_0026,1691650000000000,det_0030257,VEHICLE,31.023,-22.831,1.063,5.617,2.033,1.766,9.355,60,SUNNY,Day,LEVEL_1,v2.0.1
seg_0098,1693450008700000,det_0025674,VEHICLE,16.936,-1.350,1.055,3.570,1.808,1.905,16.216,169,sunny,Day,LEVEL_1,v2.0.1
seg_0042,1692050014800000,det_0008882,VEHICLE,10.552,-8.826,1.112,3.769,2.195,1.797,11.340,-1,fog,Day,LEVEL_1,v2.0.1
seg_0034,1691850016700000,det_0003151,SIGN,-30.717,11.611,0.705,0.439,0.529,1.952,0.000,61,sunny,Day,LEVEL_1,v2.0.1
